0.474554,0.0301852,0.952753
0.430458,0.073841,0.957144
0.372771,0.130983,0.962886
0.305121,0.197927,0.969623
0.240843,0.261563,0.976022
0.161662,0.339953,0.983903
0.0903647,0.410538,0.991
0.0448961,0.455554,0.995525
0.00838401,0.491702,0.999159
-0.00116052,0.499337,1.00011
-0.0211262,0.478747,1.00212
-0.0745915,0.424959,1.0075
-0.135386,0.363798,1.01362
-0.207055,0.291696,1.02083
-0.269473,0.228901,1.02711
-0.348449,0.149449,1.03505
-0.422184,0.0752687,1.04247
-0.477581,0.0195383,1.04804
-0.496691,0.00084552,1.04996
-0.486585,-0.0104787,1.04895
-0.442968,-0.0543592,1.04456
-0.393035,-0.104594,1.03954
-0.355494,-0.14236,1.03576
-0.285545,-0.212732,1.02872
-0.24857,-0.24993,1.025
-0.201548,-0.297237,1.02027
-0.125725,-0.373517,1.01264
-0.0539428,-0.445733,1.00542
-0.0105425,-0.489395,1.00105
0.000955332,-0.499689,0.999897
0.0180831,-0.481809,0.998174
0.0686629,-0.430923,0.993087
0.118935,-0.380347,0.988031
0.176268,-0.322668,0.982263
0.239977,-0.258574,0.975854
0.297636,-0.200568,0.970054
0.374549,-0.12319,0.962315
0.428694,-0.0687185,0.956867
0.460015,-0.0372083,0.953715
0.491754,-0.00528,0.950521
0.497,-1.34853e-07,0.949993
